公司id,职位名称,工作年限,学历,职位性质,薪资,融资状态,行业领域,招聘岗位id,公司优势,公司规模,公司标签,所在区域,技能标签,公司经度,公司纬度,公司全名
94153,安卓高级开发工程师,3-5年,大专,全职,8k-15k,上市公司,"移动互联网,教育",3892923,上市公司 平台大 福利好,500-2000人,"['免费工作餐', '春假17天假', '年底双薪', '交通补助']",南山区,"['资深', 'Android', 'Java']",113.950251,22.550375,深圳市海云天科技股份有限公司
125824,Android逆向开发工程师,1年以下,本科,全职,8k-12k,天使轮,数据服务,4241684,"工作有趣,发展前景好,有创造力,成长迅速",15-50人,"['绩效奖金', '股票期权', '年终奖', '定期调薪']",南山区,"['Java', '底层开发', '反编译', 'NDK']",113.941916,22.533957,深圳市比特穿越科技有限公司
327728,Android软件开发工程师,3-5年,本科,全职,10k-20k,A轮,移动互联网、硬件,4166691,"人工智能,大数据,智能硬件,每天欢乐",15-50人,"['人工智能硬件', '深度学习', '专项奖金', '股票期权']",南山区,"['资深', '架构师', '移动端', 'Java', 'html5']",113.938001,22.545507,深圳大鹊科技有限公司
235373,音频开发工程师（Android）,1-3年,本科,全职,10K-20K,不需要融资,"移动互联网,硬件",4251211,交通便利，平台好,50-150人,"['年底双薪', '带薪年假', '弹性工作', '领导好']",南山区,"['中级', '初级', '嵌入式', '软件开发']",,,深圳壹鸿科技有限公司
115166,iOS/Android高级研发工程师,3-5年,本科,全职,15k-30k,A轮,"移动互联网,企业服务",1486082,有吸引力的薪酬体系，巨大的个人发展空间,50-150人,"['股票期权', '绩效奖金', '扁平管理', '技能培训']",南山区,['移动端'],,,深圳市即构科技有限公司
150921,Android,1-3年,本科,全职,7k-14k,未融资,"移动互联网,社交网络",2451811,心有多大，舞台就有多大，对，说的就是你！,15-50人,[],宝安区,['移动端'],113.863751,22.607807,深圳市艺融创科技有限公司
326716,安卓工程师,3-5年,本科,全职,12k-18k,未融资,"硬件,其他",4158215,"五险一金,员工旅游,年终奖",150-500人,"['""""']",龙岗区,"['旅游', 'Android', 'C++', 'Java']",114.247447,22.731822,深圳市神州云海智能科技有限公司
61750,Android开发工程师,3-5年,本科,全职,15k-30k,A轮,移动互联网,3199537,"年假多,餐补高,福利多多,写不下",15-50人,"['股票期权', '绩效奖金', '年终分红', '带薪年假']",南山区,"['视频', '高级', '全栈', '移动端', 'C']",113.938223,22.523806,一块互动（北京）科技有限公司
312244,安卓开发工程师,1-3年,本科,全职,15k-25k,A轮,医疗健康,4228255,"清华团队,工资+绩效,培训,员工活动",15-50人,"['带薪年假', '清华创业团队', '培训', '员工福利']",龙岗区,"['医疗健康', 'Android', 'Java', '算法', 'C、C++']",114.214889,22.70046,深圳市智听科技有限公司
227383,android开发工程师,1-3年,大专,全职,8k-15k,B轮,"移动互联网,硬件",3604639,"品牌企业,朝阳行业",150-500人,[],南山区,"['视频', '直播', '硬件制造', 'C++', 'iOS']",113.945877,22.544302,深圳市飞鱼星科技有限公司
295578,Android开发工程师,3-5年,大专,全职,10k-18k,不需要融资,"移动互联网,游戏",3896303,"五险一金,环境优雅,年终奖,周末双休",50-150人,"['弹性工作', '年度旅游', '扁平管理', '五险一金']",南山区,"['软件开发', '移动端']",113.953713,22.56934,揭阳科盈科技有限公司
165137,高级安卓工程师,3-5年,本科,全职,15k-30k,天使轮,"移动互联网,社交网络",4188629,"薪资给力,氛围轻松,福利好,业务稳定",少于15人,"['股票期权', '弹性工作', '扁平管理', '五险一金']",南山区,"['Android', '移动端', '客户端']",113.942712,22.526908,深圳市熠星视界科技有限公司
